,week_ending,prime_item_nbr,pos_qty,pos_sales,aur_price,traited_pods,valid_pods,OOS_pods,OOS_pct_pods,hist_on_hand_qty,net_ship_qty,flagged_active_pod,pos_qty_per_pod,pos_sales_per_pod,mf_training_data
0,2021-11-05,578448286,27.0,271.82,10.06740740740740740741,0,0,1,0.041666666666666667,47.00,,24,1.125000000000000000,11.32583333333333333333,0
1,2021-01-22,578432851,42.0,195.82,4.66238095238095238095,0,0,1,0.038461538461538462,723.00,,26,1.615384615384615385,7.53153846153846153846,0
2,2020-10-16,578145557,167.0,3183.33,19.06185628742514970060,683,645,14,0.020408163265306122,13742.00,264.00,686,0.243440233236151603,4.64042274052478134111,1
3,2020-12-25,569769763,1.0,10.69,10.69000000000000000000,0,0,0,0E-18,,,1,1.000000000000000000,10.69000000000000000000,0
4,2022-02-11,591649649,58.0,454.10,7.82931034482758620690,0,0,3,0.078947368421052632,134.00,,38,1.526315789473684211,11.95000000000000000000,0
5,2021-05-28,565670388,1.0,14.25,14.25000000000000000000,0,0,0,0E-18,,,1,1.000000000000000000,14.25000000000000000000,0
6,2020-06-12,578145557,1231.0,24395.12,19.81731925264012997563,699,697,30,0.042253521126760563,11412.00,210.00,710,1.733802816901408451,34.35932394366197183099,1
7,2020-08-07,555742106,1.0,10.00,10.00000000000000000000,0,0,0,0E-18,4.00,,1,1.000000000000000000,10.00000000000000000000,0
8,2021-05-28,556710451,1.0,7.00,7.00000000000000000000,0,0,1,1.000000000000000000,0.00,,1,1.000000000000000000,7.00000000000000000000,0
9,2022-03-04,585411081,1.0,8.76,8.76000000000000000000,0,0,1,1.000000000000000000,-1.00,,1,1.000000000000000000,8.76000000000000000000,0
10,2021-01-22,597353781,2017.0,78111.23,38.72644025780862667328,3382,3331,33,0.009507346585998271,40637.00,2382.00,3471,0.581100547392682224,22.50395563238259867473,1
11,2021-11-19,566844232,76.0,517.54,6.80973684210526315789,0,0,7,0.304347826086956522,239.00,,23,3.304347826086956522,22.50173913043478260870,0
12,2021-08-20,564198225,3.0,23.00,7.66666666666666666667,0,0,0,0E-18,5.00,,2,1.500000000000000000,11.50000000000000000000,0
13,2020-11-13,578448286,6.0,46.64,7.77333333333333333333,0,0,0,0E-18,46.00,,5,1.200000000000000000,9.32800000000000000000,0
14,2020-09-18,578448286,10.0,69.11,6.91100000000000000000,0,0,0,0E-18,160.00,,10,1.000000000000000000,6.91100000000000000000,0
15,2021-10-08,578432851,19.0,78.56,4.13473684210526315789,0,0,1,0.066666666666666667,146.00,,15,1.266666666666666667,5.23733333333333333333,0
16,2020-10-09,553737439,1.0,2.50,2.50000000000000000000,0,0,0,0E-18,,,1,1.000000000000000000,2.50000000000000000000,0
17,2022-03-18,597246380,41.0,255.54,6.23268292682926829268,0,0,2,0.068965517241379310,40.00,,29,1.413793103448275862,8.81172413793103448276,0
18,2021-05-07,578145557,36.0,263.13,7.30916666666666666667,0,0,3,0.250000000000000000,19.00,,12,3.000000000000000000,21.92750000000000000000,0
19,2021-03-12,585411081,22.0,145.42,6.61000000000000000000,183,181,0,0E-18,1998.00,,185,0.118918918918918919,0.78605405405405405405,1
20,2021-02-26,586163014,246.0,11523.80,46.84471544715447154472,3036,3027,382,0.125534012487676635,13446.00,48.00,3043,0.080841275057509037,3.78698652645415708183,1
21,2022-02-11,578145557,96.0,824.74,8.59104166666666666667,0,0,7,0.129629629629629630,174.00,,54,1.777777777777777778,15.27296296296296296296,1
22,2021-12-03,586163014,205.0,3767.63,18.37868292682926829268,14,14,33,0.239130434782608696,427.00,,138,1.485507246376811594,27.30166666666666666667,1
23,2020-11-06,597353781,1889.0,72529.80,38.39587083112758073055,3389,3371,153,0.043889845094664372,43922.00,31240.00,3486,0.541881812966150316,20.80602409638554216867,1
24,2021-09-03,566844232,392.0,5468.46,13.95015306122448979592,0,0,81,0.470930232558139535,447.00,,172,2.279069767441860465,31.79337209302325581395,1
25,2021-08-13,597353781,483.0,15161.39,31.39004140786749482402,1489,1486,48,0.030360531309297913,10147.00,84.00,1581,0.305502846299810247,9.58974699557242251739,1
26,2021-06-04,564198225,2.0,10.00,5.00000000000000000000,0,0,0,0E-18,,,2,1.000000000000000000,5.00000000000000000000,0
27,2022-03-11,596253486,557.0,38162.83,68.51495511669658886894,3871,3790,29,0.007432086109687340,41102.00,268.00,3902,0.142747309072270630,9.78032547411583803178,1
28,2022-04-01,596337010,18.0,262.92,14.60666666666666666667,0,0,3,0.214285714285714286,65.00,,14,1.285714285714285714,18.78000000000000000000,0
29,2021-12-31,585476447,84.0,510.00,6.07142857142857142857,0,0,12,0.400000000000000000,616.00,,30,2.800000000000000000,17.00000000000000000000,0
30,2021-09-17,587022978,963.0,18349.82,19.05484942886812045691,3086,3042,371,0.119446233097231165,16372.00,258.00,3106,0.310045074050225370,5.90786220218931101095,1
31,2020-08-28,8262628,1.0,3.66,3.66000000000000000000,0,0,1,1.000000000000000000,0.00,,1,1.000000000000000000,3.66000000000000000000,0
32,2022-01-07,564198225,2.0,14.00,7.00000000000000000000,0,0,1,0.500000000000000000,12.00,,2,1.000000000000000000,7.00000000000000000000,0
33,2021-12-31,597246380,49.0,557.66,11.38081632653061224490,0,0,2,0.050000000000000000,72.00,,40,1.225000000000000000,13.94150000000000000000,0
34,2021-04-16,8292378,1.0,28.29,28.29000000000000000000,0,0,0,0E-18,,,1,1.000000000000000000,28.29000000000000000000,0
35,2021-09-10,591649642,146.0,1242.43,8.50979452054794520548,0,0,1,0.010638297872340426,463.00,,94,1.553191489361702128,13.21734042553191489362,1
