prime_item_nbr,prime_item_desc,prime_size_desc,item_nbr,item_flags,item_desc_1,item_desc_2,unit_retail,unit_cost,mu_percent,color_desc,size_desc,item_status,item_type,item_sub_type,upc,upc_desc,create_date,effective_date,obsolete_date,uom_sell_qty,uom_code,multi_unit_qty,multi_unit_cost,mfg_nbr,intl_code,product_code,product_description,shelf_number,shelf_description,mdse_category_intl,mdse_sub_category_intl,pack_type,order_book_flag,corp_cancel_when_out_flag,plu_nbr,return_sheet_nbr,ordbk_stars_qty,whse_align,last_change_date,last_change_time,expiration_date,status_chg_date,unit_size,unit_size_uom,item_opp_flag,item_opp_effective_date,item_opp_expiration_date,min_order_qty,max_order_qty,signing_desc,vndr_min_ord_qty,season_code,season_year,license_code,buying_region_code,space_desc,space_id,item_height,item_length,item_width,item_weight,brand_id,brand_desc,brand_family_id,brand_family_name,brand_owner_id,brand_owner_name,private_label,consumer_id,country_of_origin,dsci_loaded_at,dsci_revision,dsci_deleted,item_nbr,item_flags,buyer_user_id,buyer_full_name,category_team_lead_user_id,category_team_lead_full_name,dmm_user_id,dmm_full_name,gmm_user_id,gmm_full_name,evp_user_id,evp_full_name,fineline_number,fineline_description,dept_subcategory_description,dept_category_description,dept_category_group_description,mdse_subgroup_description,mdse_segment_description,dsci_loaded_at,dsci_revision,dsci_deleted,item_nbr,total_sales
556554707,FLEX SEAL 14OZ GRAY,1.0EA,556554707,L,FLEX SEAL 14OZ GRAY,,13.24,7.65,0.42,GRAY,1.0EA,A,20,0,0085351700614,FLEX SEAL G,2016-10-10,2017-01-27,2500-01-01,1.00,EA,0,0.00,743443,,19288201,,19288200,FLEX SEAL SILVER,TAPE.ADHESIVES.CAULK,CAULK,C,true,false,0,0,2,AS,2022-01-10,18:54:00:79,2049-12-31,2016-10-10,1.00,EA,false,,,0,0,FLEX SEAL GRAY LIQUID RUBBER SEALANT,,,,,,,,9.50,2.50,2.50,0.88,540272,FLEX SEAL,36188,FLEX SEAL,33529,SWIFT RESPONSE LLC,N,19044350,US,2022-04-19 18:20:37.872381 +00:00,0,false,556554707,L,B0P030N,"Parra,Benjamin",JMF001P,"Feinberg,Jonathan",JFHUERT,"HUERTA,JOSE",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",4235,MISCELLANEOUS REPAIR,WATERSEAL,EXTERIOR PROTECTANTS L3,PAINT,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,556554707,1450298.65
563063825,FLEX SEAL LIQ WHT GL,1.0EA,563063825,L,FLEX SEAL LIQ WHT GL,FLEX SEAL LIQ WHT GL,93.00,53.35,0.43,WHITE,1.0EA,A,20,0,0085351700654,FLEX SEAL W,2017-03-08,2017-03-13,2500-01-01,1.00,EA,0,0.00,743443,,20231311,FLEX SEAL LIQ CLR GL,20231310,FLEX SEAL LIQ CLR GL,TAPE.ADHESIVES.CAULK,CAULK,C,true,false,0,0,2,AS,2022-04-07,18:54:15:28,2049-12-31,2017-03-08,1.00,EA,false,,,0,0,FLEX SEAL LIQUID WHITE GALLON,,,,,,,,7.75,6.50,6.50,8.00,540272,FLEX SEAL,36188,FLEX SEAL,33529,SWIFT RESPONSE LLC,N,20487649,US,2022-04-19 18:20:37.872381 +00:00,0,false,563063825,L,B0P030N,"Parra,Benjamin",JMF001P,"Feinberg,Jonathan",JFHUERT,"HUERTA,JOSE",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",4235,MISCELLANEOUS REPAIR,WATERSEAL,EXTERIOR PROTECTANTS L3,PAINT,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,563063825,2190199.09
564988328,FLEX TAPE WHITE AUTO,1.0EA,564988328,O,FLEX TAPE WHITE AUTO,,12.88,7.46,0.42,,1.0EA,D,3,0,0085280800748,FLEX TAPE W,2017-07-11,2017-07-31,2021-11-09,1.00,EA,0,0.00,743443,,29414720,FLEX TAPE WHITE AUTO,29414719,FLEX TAPE WHITE AUTO,PAINT AND BODY,PAINT and BODY,C,false,false,0,0,2,DI,2021-10-16,17:59:19:20,2018-04-07,2018-04-16,1.00,EA,false,,,0,0,"FLEX TAPE WHITE AUTO 4"" X 5'",,,,,,,,4.25,3.50,3.50,0.50,542262,FLEX TAPE,37808,FLEX TAPE,35082,SWIFT RESPONSE LLC.,,42172207,US,2022-04-19 18:20:37.872381 +00:00,0,false,564988328,O,GWALDER,"ALDERMAN,GEORGE",SBAYLES,"BAYLES,SCOTT",R3HAYS,"HAYS,RICHARD",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",4233,TAPES AND ADHESIVES,AUTO SANDING TOOLS,AUTO PAINT AND BODY,AUTO CAR CARE WIPERS AND MAINT,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,564988328,6.00
565340043,FLEX SEAL 14OZ BLUE,1.0EA,565340043,,FLEX SEAL 14OZ BLUE,,13.24,7.65,0.42,,1.0EA,I,20,0,0085351700610,FLEX SEAL B,2017-08-18,2017-08-21,2500-01-01,14.00,EA,0,0.00,743443,,19288205,FLEX SEAL BLUE,19288204,FLEX SEAL BLUE,TAPE.ADHESIVES.CAULK,CAULK,C,false,false,0,0,2,AS,2022-01-10,18:54:01:28,2049-12-31,2020-06-12,14.00,OZ,false,,,0,0,FLEX SEAL 14OZ BLUE LIQUID RUBBER,,,,,,,,9.50,2.50,2.50,0.88,540272,FLEX SEAL,36188,FLEX SEAL,33529,SWIFT RESPONSE LLC,N,19044352,US,2022-04-19 18:20:37.872381 +00:00,0,false,565340043,,B0P030N,"Parra,Benjamin",JMF001P,"Feinberg,Jonathan",JFHUERT,"HUERTA,JOSE",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",4235,MISCELLANEOUS REPAIR,WATERSEAL,EXTERIOR PROTECTANTS L3,PAINT,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,565340043,
566903598,FLEX TAPE GRAY 4IN,1.0EA,566903598,,FLEX TAPE GRAY 4IN,,13.24,7.65,0.42,,1.0EA,A,20,0,0085280800761,FLEX TAPE G,2017-12-14,2018-01-01,2500-01-01,1.00,EA,0,0.00,743443,,32925833,FLEX TAPE GRAY 4IN,32925832,FLEX TAPE GRAY 4IN,TAPE.ADHESIVES.CAULK,CAULK,C,true,false,0,0,2,AS,2022-04-07,18:54:16:74,2049-12-31,2017-12-14,1.00,EA,false,,,0,0,FLEX TAPE GRAY 4IN,,,,,,,,4.25,3.50,3.50,0.50,540272,FLEX SEAL,36188,FLEX SEAL,33529,SWIFT RESPONSE LLC,N,53840886,US,2022-04-19 18:20:37.872381 +00:00,0,false,566903598,,B0P030N,"Parra,Benjamin",JMF001P,"Feinberg,Jonathan",JFHUERT,"HUERTA,JOSE",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",4235,MISCELLANEOUS REPAIR,WATERSEAL,EXTERIOR PROTECTANTS L3,PAINT,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,566903598,629971.74
567406863,FLEX GLUE 10OZ SK,1.0EA,567406863,O,FLEX GLUE 10OZ SK,,13.28,8.82,0.34,,1.0EA,D,3,0,0085280800766,FLEX GLUE P,2018-02-15,2018-03-05,2020-08-04,1.00,EA,0,0.00,743443,,33890272,FLEX GLUE 10OZ,33890271,FLEX GLUE 10OZ,TAPE.ADHESIVES.CAULK,CAULK,C,false,false,0,0,2,DI,2020-07-31,18:55:52:91,2018-11-12,2018-11-28,1.00,EA,false,,,0,0,FLEX GLUE WHITE 10 OZ TUBE PRO,,,,,,,,11.00,2.00,2.00,1.17,540272,FLEX SEAL,36188,FLEX SEAL,33529,SWIFT RESPONSE LLC,N,56785412,US,2022-04-19 18:20:37.872381 +00:00,0,false,567406863,O,B0P030N,"Parra,Benjamin",JMF001P,"Feinberg,Jonathan",JFHUERT,"HUERTA,JOSE",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",4235,MISCELLANEOUS REPAIR,WATERSEAL,EXTERIOR PROTECTANTS L3,PAINT,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,567406863,
581008738,FLEX SEAL FLEX PASTE,NA,581008738,,FLEX SEAL FLEX PASTE,ONLINE ONLY,29.88,17.61,0.41,NA,NA,A,3,0,0085001022681,FLEX SEAL FL,2020-03-31,2049-12-27,2500-01-01,1.00,EA,0,0.00,743443,,0,,72454255,FLEX SEAL FLEX PASTE,*Unassigned,*Unassigned,C,false,false,0,0,2,DI,2021-03-29,18:41:43:69,2049-12-31,2020-03-31,1.00,EA,false,,,0,0,MERCHANDISE,,0,2020,,6,,,5.00,5.50,5.50,3.00,84602,ONLINE,208,NONE,164,NONE,N,170822524,,2022-04-19 18:20:37.872381 +00:00,0,false,581008738,,A0S011Z,"SCHUSSLER,ANDREW",MJESART,"ESARTE,MARTIN",MJESART,"ESARTE,MARTIN",A2ALBRI,"ALBRIGHT,ANDREA",CREDFIE,"REDFIELD,CHARLES",9379,DOTCOM ONLY,DOTCOM,DOTCOM,DOTCOM,CANDY AND IMPULSE,SNACKS BEVERAGES AND IMPULSE,2022-04-19 18:20:40.924165 +00:00,0,false,581008738,322.00
598205022,FLEX SEAL 2PK BLK,NA,598205022,,FLEX SEAL 2PK BLK,,22.88,14.92,0.35,BLACK,NA,A,3,0,0085280800714,SEAL 2PK BLK,2021-11-01,2021-11-15,2500-01-01,28.00,EA,0,0.00,743443,,0,,250336840,FLEX SEAL 2PK BLK,TAPE.ADHESIVES.CAULK,CAULK,C,false,false,0,0,2,AS,2021-11-01,18:47:39:52,2022-08-01,2021-11-01,28.00,OZ,false,,,0,0,MERCHANDISE,,0,2021,,,,,10.00,6.00,3.00,2.50,540272,FLEX SEAL,36188,FLEX SEAL,33529,SWIFT RESPONSE LLC,N,208623393,US,2022-04-19 18:20:37.872381 +00:00,0,false,598205022,,B0P030N,"Parra,Benjamin",JMF001P,"Feinberg,Jonathan",JFHUERT,"HUERTA,JOSE",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",4235,MISCELLANEOUS REPAIR,WATERSEAL,EXTERIOR PROTECTANTS L3,PAINT,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,598205022,80352.90
598252839,FLEX TAPE 2PK CLR,NA,598252839,,FLEX TAPE 2PK CLR,,22.88,14.92,0.35,CLEAR,NA,A,3,0,0085263900845,TAPE 2PK CLR,2021-11-05,2021-11-15,2500-01-01,8.00,EA,0,0.00,743443,,0,,250379766,FLEX TAPE 2PK CLR,TAPE.ADHESIVES.CAULK,CAULK,C,false,false,0,0,2,AS,2021-11-04,18:47:39:59,2022-08-05,2021-11-05,8.00,IN,false,,,0,0,MERCHANDISE,,0,2021,,,,,4.50,8.50,4.50,1.00,540272,FLEX SEAL,36188,FLEX SEAL,33529,SWIFT RESPONSE LLC,N,208674716,US,2022-04-19 18:20:37.872381 +00:00,0,false,598252839,,B0P030N,"Parra,Benjamin",JMF001P,"Feinberg,Jonathan",JFHUERT,"HUERTA,JOSE",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",4235,MISCELLANEOUS REPAIR,WATERSEAL,EXTERIOR PROTECTANTS L3,PAINT,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,598252839,51452.14
563001940,FLEX TAPE WHITE 12IN,1.0EA,563001940,O,FLEX TAPE WHITE 12IN,,49.88,28.88,0.42,NONE,1.0EA,D,3,0,0085280800721,FLEX TAPE 12,2017-02-27,2017-03-13,2020-10-06,1.00,EA,0,0.00,743443,,24426369,FLEX TAPE WHITE 12IN,24426368,FLEX TAPE WHITE 12IN,TAPE.ADHESIVES.CAULK,CAULK,C,false,false,0,0,2,DI,2020-09-27,18:49:41:29,2017-11-24,2017-11-25,1.00,EA,false,,,0,0,FLEX TAPE WHITE 12IN,,,,,,,,12.25,4.00,4.00,2.00,540272,FLEX SEAL,36188,FLEX SEAL,33529,SWIFT RESPONSE LLC,N,32092483,US,2022-04-19 18:20:37.872381 +00:00,0,false,563001940,O,B0P030N,"Parra,Benjamin",JMF001P,"Feinberg,Jonathan",JFHUERT,"HUERTA,JOSE",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",4235,MISCELLANEOUS REPAIR,WATERSEAL,EXTERIOR PROTECTANTS L3,PAINT,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,563001940,
